,price,Modellår,Kilometer,farge,effekt,batterikapasitet,feature_model,url
88,159034,2014,114012,Brun,124 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
89,196383,2014,353000,Grå,163 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
90,109729,2009,146000,Calcite White,170 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
91,231670,2020,43300,Polymetal grey,145 Hk,35 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
92,109383,2016,96500,Hvit,99 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
93,225000,2016,158000,Sølv,150 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
94,269034,2011,156000,Grå,245 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
95,254034,2016,88900,Brun,279 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
96,169900,2015,185300,Krystal White Met,114 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
97,249000,2012,158643,svart metallic,163 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
98,269900,2019,51619,Osmium gray metallic 714,152 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
99,189000,2015,114995,"Sort Safir Metallic 452,",115 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
100,249000,2013,158291,Sort safir,163 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
101,248900,2019,58915,Krystal hvit Metallic 707,152 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
102,151154,2002,296000,Svart,299 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
103,185000,2006,103000,AR BLU MONTECARLO MET (203),260 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
104,249900,2018,69000,Grå metallic,170 Hk,27 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
105,169900,2012,147500,Sølv Metallic,140 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
106,209990,2014,185000,Svart,163 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
107,119500,2013,185700,Hvit,150 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
108,249900,2016,156000,Sort metallic,150 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
109,116729,2008,287000,Grå,197 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
110,238847,2016,79200,Svart,202 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
111,129000,2015,109000,Svart,180 Hk,36 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
112,199034,2012,231000,Grå brun,200 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
113,164034,2016,96200,Carbon steel grey,204 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
114,269034,2018,99400,Quartz brun metallic,202 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
115,149900,2014,124000,Grå,136 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
116,203034,2018,130598,Mineralgrå Metallic,136 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
117,170000,1966,14610,Rød,105 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
118,240000,2021,40500,Pepperoncino red (Metallic),136 Hk,50 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
119,129509,2016,109700,Deep black metallic,115 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
120,219034,2017,252000,Svart metallic,194 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
121,209034,2014,55463,Grå metallic,140 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
122,120729,2002,245572,"Mercedes 189, Emerald black",302 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
123,230000,2018,26500,Fluid Black med highlight BMW i Blue,170 Hk,27 kWh,charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
124,173934,2014,166000,Hvit,140 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
125,115000,2014,116000,Sølv,136 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
126,229000,2018,62300,Svart,123 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
127,103034,2013,242500,Blå,163 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
128,161729,2010,236000,metallic,245 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
129,150009,2015,61400,Svart,115 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
130,109034,2012,126500,Svart,116 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
131,133660,2011,181000,Svart,160 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
132,139383,2016,99300,Hvit,101 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
133,199900,2017,77617,Rød,102 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
134,279900,2016,117554,Rød,136 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
135,189000,2015,95846,Hvit,150 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
136,229900,2018,69400,Deep Black Perl,136 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
137,219000,2018,72000,Svart,140 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
138,189000,2014,103000,metallic,140 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
139,111729,2011,230000,Blå,170 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
140,239900,2020,47130,Rød,131 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
141,179000,2017,174000,Alpinhvit 3,184 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
142,204034,2018,98673,Hvit,116 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
143,279000,2020,55000,Hvit,120 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
144,164000,2012,161200,Sølv,163 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
145,189000,2012,199000,Svart,163 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
146,145383,2013,287000,Sølv,163 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
147,276670,2020,20257,Svart,135 Hk,52 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
